Name,Sym,Atomic Number,Group,Crystal Structure,Atomic Weight,Shells,Orbitals,Valence,Melting Point,Boiling Point,Electro-Negativity,Covalent Radius,Ionic Radius,Atomic Radius,Atomic Volume,First Ionization Potential,Second Ionization Potential,Third Ionization Potential,Oxydation States,Density @ 293 K,Specific Heat,Heat of Vaporization,Heat of Fusion,Electrical Conductivity,Thermal Conductivity,Modulus of Elasticity,Coeficient of Thermal Expansion,Lattice parm,Lattice parm,Lattice parm,Pronounced,Name Origin,Description,Discovered By,Year,Location,Sources.,Uses
Gallium,Ga,31,Metal,Orthorhombic,69.723,"2,8,18,3", [Ar] 3d10 4s2 4p1,"2,3",29.78°C,2204°C,1.81,1.26 Å,.62 (+3) Å,1.81 Å,11.8 cm³/mol,5.9993 V,20.51 V,30.71 V,3,5.907 g/cm³,0.37 J/gK,258.70 kJ/mol,5.590 kJ/mol,0.0678 10^6/cm ohm,0.406 W/cmK,11 10³ MPa,19.7 10^-6 K^-1,4.523 Å,7.661 Å,4.524 Å,GAL-i-em,Latin: Gallia (France).,"Soft, blue-white metal.",Paul Émile Lecoq de Boisbaudran,1875,France,"Found throughout the crust in minerals like bauxite, germanite and coal.",Used in semiconductor production. It us used in making LEDs (light-emitting diodes) and GaAs laser diodes.
Germanium,Ge,32,Metal,Cubic: Face centered,72.61,"2,8,18,4", [Ar] 3d10 4s2 4p2,"2,4",937.4°C,2830°C,2.01,1.22 Å,.53 (+4) Å,1.52 Å,13.6 cm³/mol,7.900 V,15.934 V,34.22 V," (4),2",5.323 g/cm³,0.32 J/gK,330.90 kJ/mol,36.940 kJ/mol,1.45e-8 10^6/cm ohm,0.599 W/cmK,115 10³ MPa,5.7 10^-6 K^-1,5.677 Å,,,jer-MAY-ni-em,Latin: Germania (Germany).,Grayish-white metal.,Clemens Winkler,1886,Germany,"Obtained from refining copper, zinc and lead.","Widely used in semiconductors. It is a good semiconductor when combined with tiny amounts of phosphorus, arsenic, gallium, and antimony."
Arsenic,As,33,Non-Metal,Rhombohedral,74.92159,"2,8,18,5", [Ar] 3d10 4s2 4p3,"-3,0,3,5",817°C @ 28 atmos.,Sublimes at 613°C,2.18,1.20 Å,.58 (+3) Å,1.33 Å,13.1 cm³/mol,9.8152 V,18.633 V,28.351 V," (±3),5",5.72 g/cm³,0.33 J/gK,34.760 kJ/mol,--,0.0345 10^6/cm ohm,0.500 W/cmK,39 10³ MPa,15.4 10^-6 K^-1,4.1319 Å,,a=54° 8',AR-s'n-ik,"Greek: arsenikon; Latin: arsenicum, (both names for yellow pigment).","Steel-gray, brittle semi-metal.",Known to the ancients.,Unknown,Unknown,Found in mispickel (arsenopyrite),"Many of its compounds are deadly poison and used as weed killer and rat poison. Conducts electricity. Used in semiconductors. Some compounds, called arsenides, are used in the manufacture of paints, wallpapers, and ceramics."
Selenium,Se,34,Non-Metal,Hexagonal,78.96,"2,8,18,6", [Ar] 3d10 4s2 4p4,"-2,4,6",217°C,684.9°C,2.55,1.16 Å,.50 (+4) Å,1.22 Å,16.45 cm³/mol,9.7524 V,21.19 V,30.82 V,"-2,(4),6",4.79 g/cm³,0.32 J/gK,37.70 kJ/mol,6.694 kJ/mol,1.0e-12 10^6/cm ohm,0.0204 W/cmK,20 10³ MPa,45.0 10^-6 K^-1,4.3658 Å,,4.9592 Å,si-LEE-ni-em,Greek: selênê (moon).,Soft metalloid similar to sulfur. Ranges from gray metallic to red glassy appearance.,Jöns Berzelius,1818,Sweden,"Obtained from lead, copper and nickel refining. Conducts electricity when struck by light.","Light causes it to conduct electricity more easily. It is used in photoelectric cells, TV cameras, xerography machines and as a semiconductor in solar batteries and rectifiers. Also colors glass red."
Bromine,Br,35,Halogen,Orthorhombic,79.904,"2,8,18,7", [Ar] 3d10 4s2 4p5,"1,3,5,7",-7.2°C,58.78°C,2.96,1.14 Å,1.96 (-1) Å,1.12 Å,25.6 cm³/mol,11.8138 V,21.8 V,36.0 V," (±1),5",3.119 g/cm³,0.473 J/gK,15.438 kJ/mol,5.286 kJ/mol,--,0.00122 W/cmK,--,--,--,,,BRO-meen,Greek: brômos (stench).,Redish-brown liquid.,Antoine J. Balard,1826,France,Occurs in compounds in sea water.,"It was once used in large quantities to make a compound that removed lead compound build up in engines burning leaded gasoline. Now it is primarily used in dyes, disinfectants, and photographic chemicals."
Krypton,Kr,36,Noble Gas,Cubic: Face centered,83.8,"2,8,18,8", [Ar] 3d10 4s2 4p6,0,-156.6°C,-152.3°C,0,1.12 Å,--,1.03 Å,38.9 cm³/mol,13.9996 V,24.359 V,36.95 V,0,0.003708 g/cm³,0.248 J/gK,9.029 kJ/mol,1.638 kJ/mol,--,0.0000949 W/cmK,--,425 10^-6 K^-1,--,,,KRIP-ton,Greek: kryptos (hidden).,"Colorless, odorless, tasteless rare noble gas.","Sir William Ramsey, M.W. Travers",1898,Great Britain,Forms 1 millionth of the atmosphere. Obtained from production of liquid air.,Used in lighting products. Some is used as inert filler-gas in incandescent bulbs. Some is mixed with argon in fluorescent lamps. The most important use is in flashing stroboscopic lamps that outline airport runways.
Rubidium,Rb,37,Alkali Metal,Cubic: Body centered,85.4678,"2,8,18,8,1", [Kr] 5s1,"1,2,3,4",38.89°C,686°C,0.82,2.16 Å,1.61 (+1) Å,2.98 Å,55.9 cm³/mol,4.1771 V,27.28 V,40.0 V,1,1.53 g/cm³,0.363 J/gK,72.216 kJ/mol,2.192 kJ/mol,0.0779 10^6/cm ohm,0.582 W/cmK,2.0 10³ MPa,91 10^-6 K^-1,5.70 Å,,,roo-BID-i-em,Latin: rubidus (deep red); the color its salts impart to flames.,"Soft, silvery-white, highly reactive metal.","R. Bunsen, G. Kirchoff",1861,Germany,"Occurs abundantly, but so widespread that production is limited. Usually obtained from lithium production.","Used as a catalyst, photocells, and vacuum and cathode-ray tubes."
Strontium,Sr,38,Alkali Earth Metal,Cubic: Face centered,87.62,"2,8,18,8,2", [Kr] 5s2,2,769°C,1384°C,0.95,1.91 Å,1.26 (+2) Å,2.45 Å,33.7 cm³/mol,5.6948 V,11.03 V,43.60 V,2,2.6 g/cm³,0.30 J/gK,144.0 kJ/mol,8.30 kJ/mol,0.0762 10^6/cm ohm,0.353 W/cmK,15 10³ MPa,22.5 10^-6 K^-1,6.0851 Å,,,STRON-she-em,"From the Scottish town, Strontian.","Soft, malleable, silvery-yellow metal.",A. Crawford,1790,Scotland,Found in minerals celestite and strontianite.,Used in flares and fireworks for crimson color. Strontium-90 is a long lived highly radioactive fallout product of atomic-bomb explosions.
Yttrium,Y,39,Transition Metal,Hexagonal,88.90585,"2,8,18,9,2", [Kr] 4d1 5s2,3,1522°C ±8°C,3338°C,1.22,1.62 Å,1.02 (+3) Å,2.27 Å,19.8 cm³/mol,6.217 V,12.24 V,20.52 V,3,4.47 g/cm³,0.30 J/gK,363.0 kJ/mol,11.40 kJ/mol,0.0166 10^6/cm ohm,0.172 W/cmK,64.4 10³ MPa,11.3 10^-6 K^-1,3.6475 Å,,5.7308 Å,IT-ri-em,"From the Swedish village, Ytterby, where one of its minerals was first found.","Silvery, ductile, fairly reactive metal.",Johann Gadolin,1789,Finland,"Found in minerals such as monazite, xenotime, and yttria.",Combined with europium to make red phosphors for color TV's. Yttrium oxide and iron oxide combine to form a crystal garnet used in radar.
Zirconium,Zr,40,Transition Metal,Hexagonal,91.224,"2,8,18,10,2", [Kr] 4d2 5s2,"2,3,4",1852°C ±2°C,4377°C,1.33,1.45 Å,.84 (+4) Å,2.16 Å,14.1 cm³/mol,6.6339 V,13.13 V,22.99 V,4,6.4 g/cm³,0.27 J/gK,58.20 kJ/mol,16.90 kJ/mol,0.0236 10^6/cm ohm,0.227 W/cmK,94 10³ MPa,5.7 10^-6 K^-1,3.2313 Å,,5.1479 Å,zer-KO-ni-em,"From the mineral, zircon.","Gray-white, lustrous, corrosion-resistant metal.",Martin Klaproth,1789,Germany,Found in many minerals such as zircon and baddeleyite.,Used in alloys such as zircaloy which is used in nuclear applications since it does not readily absorb neutrons. Also baddeleyite is used in lab crucibles. Used in high-performance pumps and valves. Clear zircon (ZrSiO4) is a popular gemstone.
Niobium,Nb,41,Transition Metal,Cubic: Body centered,92.90638,"2,8,18,12,1", [Kr] 4d4 5s1,"2,3,5",2468°C ±10°C,4742°C,1.6,1.34 Å,.64 (+5) Å,2.08 Å,10.87 cm³/mol,6.7589 V,14.32 V,25.04 V," (5),3",8.57 g/cm³,0.26 J/gK,682.0 kJ/mol,26.40 kJ/mol,0.0693 10^6/cm ohm,0.537 W/cmK,104 10³ MPa,7.3 10^-6 K^-1,3.3067 Å,,,ni-OH-bee-em,From Niobe; daughter of the mythical Greek king Tantalus.,"Shiny white, soft, ductile metal.",Charles Hatchet,1801,England,"Occurs in a mineral columbite. Formerly known as colombium (Cb). It is used in stainless steel alloys for nuclear reactors, jets and missiles.","Used as an alloy with iron and nickel. It can be used in nuclear reactors and is known to be superconductive when alloyed with tin, aluminum or zirconium."
Molybdenum,Mo,42,Transition Metal,Cubic: Body centered,95.94,"2,8,18,13,1", [Kr] 4d5 5s1,"2,3,6",2617°C,4612°C,2.16,1.30 Å,.59 (+6) Å,2.01 Å,09.4 cm³/mol,7.0924 V,16.461 V,27.16 V," (6),5,4,3,2",10.2 g/cm³,0.25 J/gK,598.0 kJ/mol,32.0 kJ/mol,0.187 10^6/cm ohm,1.38 W/cmK,322 10³ MPa,4.8 10^-6 K^-1,3.1469 Å,,,meh-LIB-deh-nem,Greek: molybdos (lead).,"Hard, silvery-white metal.",Carl Wilhelm Scheele,1778,Sweden,Found in the minerals molybdenite (MoS2) and wulfenite (MoO4Pb).,"Its alloys are used in aircraft, missiles, and protective coatings in boiler plate."
Technetium,Tc,43,Transition Metal,Hexagonal,-97.9072,"2,8,18,13,2", [Kr] 4d5 5s2,"0,2,4,5,6,7",2172°C,4877°C,1.9,1.27 Å,--,1.95 Å,08.5 cm³/mol,7.28 V,15.26 V,29.54 V," (7),6,4",11.5 g/cm³,0.21 J/gK,660.0 kJ/mol,24.0 kJ/mol,0.067 10^6/cm ohm,0.506 W/cmK,380 10³ MPa,8 10^-6 K^-1,2.735 Å,,4.388 Å,tek-NEE-shi-em,Greek: technêtos (artificial).,Silvery-gray metal. First synthetically produced element.,"Carlo Perrier, Émillo Segrè",1937,Italy,Made first by bombarding molybdenum with deuterons (heavy hydrogen) in a cyclotron.,Added to iron in quantities as low as 55 part-per-million transforms the iron into a corrosion-resistant alloy.
Ruthenium,Ru,44,Transition Metal,Hexagonal,101.07,"2,8,18,15,1", [Kr] 4d7 5s1,"0,1,2,3,4,5,6,7,8",2334°C,4150°C,2.2,1.25 Å,.62 (+4) Å,1.89 Å,08.3 cm³/mol,7.3605 V,16.76 V,28.47 V,"2,(3,4),6,8",12.2 g/cm³,0.238 J/gK,595.0 kJ/mol,24.0 kJ/mol,0.137 10^6/cm ohm,1.17 W/cmK,430 10³ MPa,6.4 10^-6 K^-1,2.7059 Å,,4.2818 Å,roo-THE-ni-em,Latin: Ruthenia (Russia).,"Rare, extremely brittle, silver-gray metal.",Karl Klaus,1844,Russia,Found in pentlandite and pyroxinite.,Used to harden platinum and palladium. Aircraft magnetos use platinum alloy with 10% ruthenium.
Rhodium,Rh,45,Transition Metal,Cubic: Face centered,102.9055,"2,8,18,16,1", [Kr] 4d8 5s1,"2,3,4,5,6",1966°C ±3°C,3695°C,2.28,1.25 Å,.67 (+3) Å,1.83 Å,08.3 cm³/mol,7.4589 V,18.08 V,31.06 V,"2,(3),4",12.4 g/cm³,0.242 J/gK,493.0 kJ/mol,21.50 kJ/mol,0.211 10^6/cm ohm,1.50 W/cmK,330 10³ MPa,8.2 10^-6 K^-1,3.8045 Å,,,RO-di-em,Greek: rhodon (rose). Its salts give a rosy solution.,"Hard, silvery-white metal",William Wollaston,1803,England,Obtained as a by-product of nickel production.,Used as a coating to prevent wear on high quality science equipment and with platinum to make thermocouples.
Palladium,Pd,46,Transition Metal,Cubic: Face centered,106.42,"2,8,18,18", [Kr] 4d10,"2,3,4",1552°C,2940°C,2.2,1.28 Å,.64 (+2) Å,1.79 Å,08.9 cm³/mol,8.3369 V,19.63 V,32.93 V," (2),4",12.02 g/cm³,0.24 J/gK,357.0 kJ/mol,17.60 kJ/mol,0.0950 10^6/cm ohm,0.718 W/cmK,127 10³ MPa,11.8 10^-6 K^-1,3.8908 Å,,,peh-LAY-di-em,"Named after the asteroid, Pallas, discovered in 1803.","Soft, malleable, ductile, silvery-white metal.",William Wollaston,1803,England,"Obtained with platinum, nickel, copper and mercury ores.",Used as a substitue for silver in dental items and jewelry. The pure metal is used as the delicate mainsprings in analog wristwatches. Also used in surgical instruments and as catalyst .
Silver,Ag,47,Transition Metal,Cubic: Face centered,107.8682,"2,8,18,18,1", [Kr] 4d10 5s1,"1,2",961.93°C,2162°C,1.93,1.34 Å,1.15 (+1) Å,1.75 Å,10.3 cm³/mol,7.5762 V,21.49 V,34.83 V,1,10.5 g/cm³,0.235 J/gK,250.580 kJ/mol,11.30 kJ/mol,0.630 10^6/cm ohm,4.29 W/cmK,80 10³ MPa,18.9 10^-6 K^-1,4.0863 Å,,,SIL-ver,"Anglo-Saxon: siolful, (silver); symbol from Latin: argentium.","Silvery-ductile, and malleable metal",Known to the ancients.,Unknown,Unknown,"Found in ores called argentite (AgS), light ruby silver (Ag3AsS3), dark ruby silver(Ag3SbS3) and brittle silver.","Used in alloys for jewelry and in other compounds for photography. It is also a good conductor, but expensive."
Cadmium,Cd,48,Metal,Hexagonal,112.411,"2,8,18,18,2", [Kr] 4d10 5s2,2,320.9°C,765°C,1.69,1.48 Å,.95 (+2) Å,1.71 Å,13.1 cm³/mol,8.9937 V,16.908 V,37.48 V,2,8.65 g/cm³,0.23 J/gK,99.570 kJ/mol,6.192 kJ/mol,0.138 10^6/cm ohm,0.968 W/cmK,62 10³ MPa,30.8 10^-6 K^-1,2.9789 Å,,5.6169 Å,KAD-me-em,Greek: kadmeia (ancient name for calamine (zinc oxide)).,"Soft, malleable, blue-white metal.",Fredrich Stromeyer,1817,Germany,Obtained as a by product of zinc refining.,"Used in nickel-cadmium batteries. Also in electroplating steel and in the manufacture of berings. Its compounds are found in paint pigments and a wide variety of intense colors. Boiling cadmium gives off a weird, yellow-colored vapor that is poisonous."
Indium,In,49,Metal,Tetragonal,114.818,"2,8,18,18,3", [Kr] 4d10 5s2 5p1,"1,2,3",156.61°C,2080°C,1.78,1.44 Å,.80 (+3) Å,2.00 Å,15.7 cm³/mol,5.7864 V,18.869 V,28.03 V,3,7.31 g/cm³,0.23 J/gK,231.50 kJ/mol,3.263 kJ/mol,0.116 10^6/cm ohm,0.816 W/cmK,14 10³ MPa,32.1 10^-6 K^-1,4.5981 Å,,4.9469 Å,IN-di-em,"Latin: indicum (color indigo), the color it shows in a spectroscope.","Rare, very soft, silver-white metal","Ferdinand Reich, T. Richter",1863,Germany,Found in certain zinc ores.,Used to coat high speed bearings and as an alloy that lowers the melting point of other metals. Relativly small amounts are used in dental items and in electronic semiconductors.
Tin,Sn,50,Metal,Tetragonal,118.71,"2,8,18,18,4", [Kr] 4d10 5s2 5p2,"2,4",231.97°C,2602°C,1.96,1.41 Å,.71 (+4) Å,1.72 Å,16.3 cm³/mol,7.3438 V,14.632 V,30.502 V," (4),2",7.30 g/cm³,0.227 J/gK,295.80 kJ/mol,7.029 kJ/mol,0.0917 10^6/cm ohm,0.666 W/cmK,50 10³ MPa,22.0 10^-6 K^-1,5.8317 Å,,,TIN,"Named after Etruscan god, Tinia; symbol from Latin: stannum (tin).","Silvery-white, soft, malleable and ductile metal.",Known to the ancients.,Unknown,Unknown,Principally found in the ore cassiterite(SnO2) and stannine (Cu2FeSnS4).,"Used as a coating for steel cans since it is nontoxic and noncorrosive. Also in solder (33%Sn:67%Pb), bronze (20%Sn:80%Cu), and pewter. Stannous fluoride (SnF2), a compound of tin and fluorine is used in some toothpaste."
Antimony,Sb,51,Metal,Rhombohedral,121.757,"2,8,18,18,5", [Kr] 4d10 5s2 5p3,"0,-3,3,5",630.74°C,1587°C,2.05,1.40 Å,.76 (+3) Å,1.53 Å,18.23 cm³/mol,8.64 V,16.53 V,25.30 V," (±3),5",6.684 g/cm³,0.21 J/gK,77.140 kJ/mol,19.870 kJ/mol,0.0288 10^6/cm ohm,0.243 W/cmK,67 10³ MPa,11.0 10^-6 K^-1,4.5069 Å,,"a=57° 6'27""",AN-teh-MOH-ni,Greek: anti and monos (not alone); symbol from mineral stibnite.,"Hard, brittle, silvery-white semimetal.",Known to the ancients.,Unknown,Unknown,Found in stibnite (Sb2S3) and in valentinite (Sb2O3).,It is alloyed with other metals to increase their hardness. Also in the manufacture of a few special types of semiconductor devices. Also in plastics and chemicals. A few kinds of over-the-counter cold and flu remedies use antimony compounds.
Tellurium,Te,52,Non-Metal,Hexagonal,127.6,"2,8,18,18,6", [Kr] 4d10 5s2 5p4,"2,4,6",449.5°C,989.9°C,2.1,1.36 Å,.97 (+4) Å,1.42 Å,20.5 cm³/mol,9.0096 V,18.60 V,27.96 V,"-2,(4),6",6.24 g/cm³,0.20 J/gK,52.550 kJ/mol,17.490 kJ/mol,2.0e-6 10^6/cm ohm,0.0235 W/cmK,40 10³ MPa,18.8 10^-6 K^-1,4.4568 Å,,5.9270 Å,te-LOOR-i-em,Latin: tellus (earth).,"Silvery-white, brittle simi-metal.",Franz Müller von Reichenstein,1782,Romania,Obtained as a by-product of copper and lead refining.,Used to improve the machining quality of copper and stainless steel products and to color glass and ceramics. Also in thermoelectric devices. Some is used in the rubber industry and it is a basic ingredient in manufacturing blasting caps.
Iodine,I,53,Halogen,Orthorhombic,126.90447,"2,8,18,18,7", [Kr] 4d10 5s2 5p5,"1,3,5,7",113.5°C,184.35°C @ 35 atmos.,2.66,1.33 Å,2.20 (-1) Å,1.32 Å,25.74 cm³/mol,10.4513 V,19.131 V,33.0 V," (±1),5,7",4.93 g/cm³,0.214 J/gK,20.752 kJ/mol,7.824 kJ/mol,8.0e-16 10^6/cm ohm,0.00449 W/cmK,--,87 10^-6 K^-1,4.79 Å,7.25 Å,9.78 Å,EYE-eh-dine,Greek: iôeides (violet colored).,"Shiny, black, non-metalic solid; as a gas it is violet and intensely irritating to the eyes, nose and throat.",Bernard Courtois,1811,France,Occurs on land and in the sea in sodium and potassium compounds.,"Required in small amounts by humans. Once used as an antiseptic, but no longer due to its poisonous nature."
Xenon,Xe,54,Noble Gas,Cubic: Face centered,131.29,"2,8,18,18,8", [Kr] 4d10 5s2 5p6,0,-111.9°C,-107.1°C,0,1.31 Å,--,1.24 Å,37.3 cm³/mol,12.1299 V,21.21 V,32.10 V,0,0.00588 g/cm³,0.158 J/gK,12.636 kJ/mol,2.297 kJ/mol,--,0.0000569 W/cmK,--,253 10^-6 K^-1,--,,,ZEE-non,Greek: xenos (strange).,"Heavy, colorless, odorless, noble gas.",Sir William Ramsay; M. W. Travers,1898,England,Obtain from the small quantities in liquid air.,Used for filling flash lamps and other powerful lamps. Electrical excitation of xenon produces a burst of brilliant whtie light. Also used in bubble chambers and modern nuclear power reactors.
Cesium,Cs,55,Alkali Metal,Cubic: Body centered,132.90543,"2,8,18,18,8,1", [Xe] 6s1,1,28.4°C,669.3°C,0.79,2.35 Å,1.74 (+1) Å,3.34 Å,71.07 cm³/mol,3.8939 V,25.10 V,--,1,1.873 g/cm³,0.24 J/gK,67.740 kJ/mol,2.092 kJ/mol,0.0489 10^6/cm ohm,0.359 W/cmK,1.8 10³ MPa,100 10^-6 K^-1,6.0797 Å,,,SEE-zi-em,Latin: coesius (sky blue); for the blue lines of its spectrum.,"Very soft, light gray, ductile metal.","Gustov Kirchoff, Robert Bunsen",1860,Germany,Found in pollucite [(Cs4Al4Si9O26).H2O] and as trace in lepidolite.,"Used as a 'getter' to remove air traces in vacuum and cathode-ray tubes. Also used in producing photoelectric devices and atomic clocks. Since it ionizes readily, it is used as an ion rocket motor propellant."
Barium,Ba,56,Alkali Earth Metal,Cubic: Body centered,137.327,"2,8,18,18,8,2", [Xe] 6s2,2,725°C,1897°C,0.89,1.98 Å,1.42 (+2) Å,2.78 Å,39.24 cm³/mol,5.2117 V,10.004 V,--,2,3.51 g/cm³,0.204 J/gK,142.0 kJ/mol,7.750 kJ/mol,0.030 10^6/cm ohm,0.184 W/cmK,13 10³ MPa,20.6 10^-6 K^-1,5.013 Å,,,BAR-i-em,Greek: barys (heavy or dense).,"Soft, slightly malleable, silvery-white metal.",Sir Humphrey Davy,1808,England,"Found in barytine (BaSO4) and witherite (BaCO3), never found in pure form due to its reactivity. Must be stored under kerosene to remain pure.","Barite, or barium sulfate (BaSO4), when ground is used as a filter for rubber, plastics, and resins. It is insoluable in water and so is used in X-rays of the digestive system. Barium nitrate, Ba(NO3)2, burns brilliant green and is used in fireworks."
Lanthanum,La,57,Transition Metal,Hexagonal,138.9055,"2,8,18,18,9,2", [Xe] 5d1 6s2,3,918°C,3464°C,1.1,1.69 Å,1.16 (+3) Å,2.74 Å,20.73 cm³/mol,5.5770 V,11.059 V,19.174 V,3,6.7 g/cm³,0.19 J/gK,414.0 kJ/mol,6.20 kJ/mol,0.0126 10^6/cm ohm,0.135 W/cmK,50 10³ MPa,5.2 10^-6 K^-1,3.770 Å,,12.159 Å,LAN-the-nem,Greek: lanthanein (to be hidden).,"Soft, silvery-white, malleable, ductile metal.",Carl Mosander,1839,Sweden,Found with rare earths in monazite and bastnasite. Monazite sand typicall contains 25% lanthanum.,"It is used in the electodes of high-intensity, carbon-arc lights. Also used in the production of high-grade europium metal. Because it gives glass refractive properties, it is used in expensive camera lenses."
Cerium,Ce,58,Rare Earth,Cubic: Face centered,140.115,"2,8,18,20,8,2", [Xe] 4f1 5d1 6s2,"3,4",798°C ±3°C,3433°C,1.12,1.65 Å,1.14 (+3) Å,2.70 Å,20.67 cm³/mol,5.5387 V,10.851 V,20.20 V," (3),4",6.78 g/cm³,0.19 J/gK,414.0 kJ/mol,5.460 kJ/mol,0.0115 10^6/cm ohm,0.114 W/cmK,30 10³ MPa,5.2 10^-6 K^-1,5.1603 Å,,,SER-i-em,"Named after the asteroid, Ceres, discovered two years before the element.","Malleable, ductile, iron-gray metal.","W. von Hisinger, J. Berzelius, M. Klaproth",1803,Sweden/Germany,Most abundant rare earth metal. Found in many minerals like monazite sand [Ce(PO4)].,Its oxides are used in the optics and glass-making industries. Its salts are used in the photography and textile industry. Used in high-intensity carbon lamps and as alloying agents in special metals.
Praseodymium,Pr,59,Rare Earth,Hexagonal,140.90765,"2,8,18,21,8,2", [Xe] 4f3 6s2,3,931°C,3520°C,1.13,1.65 Å,1.13 (+3) Å,2.67 Å,20.8 cm³/mol,5.464 V,10.551 V,21.62 V," (3,4)",6.77 g/cm³,0.19 J/gK,296.80 kJ/mol,6.890 kJ/mol,0.0148 10^6/cm ohm,0.125 W/cmK,50 10³ MPa,5.4 10^-6 K^-1,3.6726 Å,,11.8358 Å,pra-si-eh-DIM-i-em,Greek: prasios and didymos (green twin); from its green salts.,"Silvery white, moderately soft, malleable, ductile metal.",C.F. Aver von Welsbach,1885,Austria,Obtained from same salts as neodymium.,Used with neodymium to make lenses for glass maker's goggles since it filters out the yellow light present in glass blowing. Alloyed with magnesium creates a high-strength metal used in aircraft engines. Makes up 5% of Mich metal.
Neodymium,Nd,60,Rare Earth,Hexagonal,144.24,"2,8,18,22,8,2", [Xe] 4f4 6s2,3,1021°C,3074°C,1.14,1.64 Å,--,2.64 Å,20.6 cm³/mol,5.5250 V,10.727 V,22.076 V,3,7.0 g/cm³,0.19 J/gK,273.0 kJ/mol,7.140 kJ/mol,0.0157 10^6/cm ohm,0.165 W/cmK,38 10³ MPa,6.9 10^-6 K^-1,3.6580 Å,,,nee-eh-DIM-i-em,Greek: neos and didymos (new twin).,"Silvery-white, rare-earth metal that oxidizes easily in air.",C.F. Aver von Welsbach,1925,Austria,"Made from electrolysis of its halide salts, which are made from monazite sand.","Used in making artificial ruby for lasers. Also in ceramics and for a special lens with praseodymium. Also to produce bright purple glass and special glass that filters infrared radiation. Makes up 18% of Mich metal, which is used in making steel."
Promethium,Pm,61,Rare Earth,Hexagonal,-144.9127,"2,8,18,23,8,2", [Xe] 4f5 6s2,3,1042 °C,3000 °C (estimated),1.13,1.63 Å,1.09 (+3) Å,2.62 Å,22.39 cm³/mol,5.55 V,10.903 V,22.283 V,3,6.475 g/cm³,0.18 J/gK,--,--,--,0.179 W/cmK,42 10³ MPa,--,--,,,pro-MEE-thi-em,"Named for the Greek god, Prometheus.","Rare earth metal of synthetic origin on the earth, naturally made in stars.","J.A. Marinsky, L.E. Glendenin, C.D. Coryell",1945,United States,"Does not occur naturally. Found among fission products of uranium, thorium, and plutonium.",It has been used as a source of radioactivity for thickness-measuring gages.
Samarium,Sm,62,Rare Earth,Rhombohedral,150.36,"2,8,18,24,8,2", [Xe] 4f6 6s2,"2,3",1074°C,1794°C,1.17,1.62 Å,1.08 (+3) Å,2.59 Å,19.95 cm³/mol,5.6437 V,11.069 V,23.423 V," (3),2",7.54 g/cm³,0.20 J/gK,166.40 kJ/mol,8.630 kJ/mol,0.00956 10^6/cm ohm,0.133 W/cmK,45 10³ MPa,--,8.996 Å,,a=23° 13',seh-MER-i-em,Named after the mineral samarskite.,Silvery rare earth metal.,Paul Émile Lecoq de Boisbaudran,1879,France,Found with other rare earths in monazite sand. The sand is often 50% rare earths by weight and 2.8% samarium.,It is used in the electronics and ceramics industries.  It is easily magnetized and very difficult to demagnetize. This suggests important future applications in solid-state and superconductor technologies.
Europium,Eu,63,Rare Earth,Cubic: Body centered,151.965,"2,8,18,25,8,2", [Xe] 4f7 6s2,"2,3",822°C,1527°C,1.2,1.85 Å,1.07 (+3) Å,2.56 Å,28.9 cm³/mol,5.6704 V,11.245 V,24.926 V," (3),2",5.259 g/cm³,0.18 J/gK,143.50 kJ/mol,9.210 kJ/mol,0.0112 10^6/cm ohm,0.139 W/cmK,15 10³ MPa,41 10^-6 K^-1,4.5822 Å,,,yoo-RO-pi-em,Named for the continent of Europe.,"Soft, silvery-white metal.",Eugène Demarçay,1901,France,"Obtained from monazite sand, which is a mixture of phosphates of calcium, thorium, cerium, and most other rare earths.",Used with yttrium oxide to make red phosphors for color televisions.
Gadolinium,Gd,64,Rare Earth,Hexagonal,157.25,"2,8,18,25,9,2", [Xe] 4f7 5d1 6s2,3,1313°C,3273°C,1.2,1.61 Å,1.05 (+3) Å,2.54 Å,19.9 cm³/mol,6.1500 V,12.095 V,20.635 V,3,7.895 g/cm³,0.23 J/gK,359.40 kJ/mol,10.050 kJ/mol,0.00736 10^6/cm ohm,0.106 W/cmK,55 10³ MPa,-2 10^-6 K^-1,3.6361 Å,,5.7828 Å,GAD-eh-LIN-i-em,Named after the mineral gadolinite.,"Soft, ductile, silvery-white metal.",Jean de Marignac,1880,Switzerland,Found with other rare earths in gadolinite and monazite sand.,Used in steel alloying agents and the manufacture of electronic components.
Terbium,Tb,65,Rare Earth,Hexagonal,158.92534,"2,8,18,27,8,2", [Xe] 4f9 6s2,"3,4",1356°C,3230°C,1.2,1.59 Å,1.18 (+3) Å,2.51 Å,19.2 cm³/mol,5.8639 V,11.525 V,21.91 V," (3),4",8.27 g/cm³,0.18 J/gK,330.90 kJ/mol,10.80 kJ/mol,0.00889 10^6/cm ohm,0.111 W/cmK,57 10³ MPa,9.4 10^-6 K^-1,3.6011 Å,,5.6938 Å,TUR-bi-em,"Named after Ytterby, a village in Sweden.","Soft, ductile, silvery-gray, rare earth metal.",Carl Mosander,1843,Sweden,"Found with other rare earths in monazite sand, which typically contain 0.03% terbium. Other sources are xenotime and euxenite, both of which are oxide mixtures that can contain up to 1% terbium.",It is used in modest amounts in special lasers and solid-state devices.
